Agency,Gage,Timestamp,Discharge [cfs],Stage [ft]
USGS,5355200,2/14/1992,392,0.251968996
USGS,5355200,2/15/1992,369,0.237185101
USGS,5355200,2/16/1992,388,0.249397884
USGS,5355200,2/17/1992,345,0.221758428
USGS,5355200,2/18/1992,431,0.27703734
USGS,5355200,2/19/1992,525,0.337458477
USGS,5355200,2/20/1992,490,0.314961245
USGS,5355200,2/21/1992,455,0.292464014
USGS,5355200,2/22/1992,415,0.266752892
USGS,5355200,2/23/1992,380,0.24425566
USGS,5355200,2/24/1992,350,0.224972318
USGS,5355200,2/25/1992,330,0.212116757
USGS,5355200,2/26/1992,523,0.336172921
USGS,5355200,2/27/1992,528,0.339386811
USGS,5355200,2/28/1992,766,0.492367988
USGS,5355200,2/29/1992,1070,0.687772516
USGS,5355200,3/1/1992,2350,1.510528422
USGS,5355200,3/2/1992,3620,2.326856548
USGS,5355200,3/3/1992,3250,2.089028669
USGS,5355200,3/4/1992,3110,1.999039742
USGS,5355200,3/5/1992,3110,1.999039742
USGS,5355200,3/6/1992,3230,2.076173108
USGS,5355200,3/7/1992,3400,2.185445377
USGS,5355200,3/8/1992,3380,2.172589816
USGS,5355200,3/9/1992,3390,2.179017596
USGS,5355200,3/10/1992,3240,2.082600888
USGS,5355200,3/11/1992,3240,2.082600888
USGS,5355200,3/12/1992,3220,2.069745327
USGS,5355200,3/13/1992,3070,1.973328619
USGS,5355200,3/14/1992,2700,1.73550074
USGS,5355200,3/15/1992,2440,1.568378447
USGS,5355200,3/16/1992,2240,1.439822836
USGS,5355200,3/17/1992,2170,1.394828373
USGS,5355200,3/18/1992,2140,1.375545031
USGS,5355200,3/19/1992,2160,1.388400592
USGS,5355200,3/20/1992,2110,1.35626169
USGS,5355200,3/21/1992,2070,1.330550568
USGS,5355200,3/22/1992,2050,1.317695007
USGS,5355200,3/23/1992,1960,1.259844982
USGS,5355200,3/24/1992,2000,1.285556104
USGS,5355200,3/25/1992,2660,1.709789618
USGS,5355200,3/26/1992,2550,1.639084032
USGS,5355200,3/27/1992,2260,1.452678397
USGS,5355200,3/28/1992,2090,1.343406129
USGS,5355200,3/29/1992,1910,1.227706079
USGS,5355200,3/30/1992,2090,1.343406129
USGS,5355200,3/31/1992,2240,1.439822836
USGS,5355200,4/1/1992,2210,1.420539495
USGS,5355200,4/2/1992,2090,1.343406129
USGS,5355200,4/3/1992,1910,1.227706079
USGS,5355200,4/4/1992,1770,1.137717152
USGS,5355200,4/5/1992,1650,1.060583786
USGS,5355200,4/6/1992,1590,1.022017103
USGS,5355200,4/7/1992,1510,0.970594858
USGS,5355200,4/8/1992,1420,0.912744834
USGS,5355200,4/9/1992,1290,0.829183687
USGS,5355200,4/10/1992,1320,0.848467029
USGS,5355200,4/11/1992,1220,0.784189223
USGS,5355200,4/12/1992,1030,0.662061394
USGS,5355200,4/13/1992,1000,0.642778052
USGS,5355200,4/14/1992,1030,0.662061394
USGS,5355200,4/15/1992,1140,0.732766979
USGS,5355200,4/16/1992,1280,0.822755906
USGS,5355200,4/17/1992,1460,0.938455956
USGS,5355200,4/18/1992,1790,1.150572713
USGS,5355200,4/19/1992,1750,1.124861591
USGS,5355200,4/20/1992,2130,1.369117251
USGS,5355200,4/21/1992,2590,1.664795155
USGS,5355200,4/22/1992,3000,1.928334156
USGS,5355200,4/23/1992,3060,1.966900839
USGS,5355200,4/24/1992,2890,1.85762857
USGS,5355200,4/25/1992,2510,1.61337291
USGS,5355200,4/26/1992,2250,1.446250617
USGS,5355200,4/27/1992,2030,1.304839445
USGS,5355200,4/28/1992,1950,1.253417201
USGS,5355200,4/29/1992,1820,1.169856055
USGS,5355200,4/30/1992,1680,1.079867127
USGS,5355200,5/1/1992,1600,1.028444883
USGS,5355200,5/2/1992,1510,0.970594858
USGS,5355200,5/3/1992,1420,0.912744834
USGS,5355200,5/4/1992,1320,0.848467029
USGS,5355200,5/5/1992,1220,0.784189223
USGS,5355200,5/6/1992,1100,0.707055857
USGS,5355200,5/7/1992,1060,0.681344735
USGS,5355200,5/8/1992,1030,0.662061394
USGS,5355200,5/9/1992,988,0.635064715
USGS,5355200,5/10/1992,960,0.61706693
USGS,5355200,5/11/1992,939,0.603568591
USGS,5355200,5/12/1992,923,0.593284142
USGS,5355200,5/13/1992,908,0.583642471
USGS,5355200,5/14/1992,878,0.56435913
USGS,5355200,5/15/1992,699,0.449301858
USGS,5355200,5/16/1992,823,0.529006337
USGS,5355200,5/17/1992,878,0.56435913
USGS,5355200,5/18/1992,874,0.561788017
USGS,5355200,5/19/1992,661,0.424876292
USGS,5355200,5/20/1992,650,0.417805734
USGS,5355200,5/21/1992,715,0.459586307
USGS,5355200,5/22/1992,503,0.32331736
USGS,5355200,5/23/1992,527,0.338744033
USGS,5355200,5/24/1992,496,0.318817914
USGS,5355200,5/25/1992,463,0.297606238
USGS,5355200,5/26/1992,523,0.336172921
USGS,5355200,5/27/1992,573,0.368311824
USGS,5355200,5/28/1992,705,0.453158527
USGS,5355200,5/29/1992,762,0.489796876
USGS,5355200,5/30/1992,702,0.451230192
USGS,5355200,5/31/1992,637,0.409449619
USGS,5355200,6/1/1992,547,0.351599594
USGS,5355200,6/2/1992,494,0.317532358
USGS,5355200,6/3/1992,504,0.323960138
USGS,5355200,6/4/1992,491,0.315604024
USGS,5355200,6/5/1992,419,0.269324004
USGS,5355200,6/6/1992,394,0.253254552
USGS,5355200,6/7/1992,367,0.235899545
USGS,5355200,6/8/1992,364,0.233971211
USGS,5355200,6/9/1992,367,0.235899545
USGS,5355200,6/10/1992,363,0.233328433
USGS,5355200,6/11/1992,357,0.229471765
USGS,5355200,6/12/1992,346,0.222401206
USGS,5355200,6/13/1992,353,0.226900652
USGS,5355200,6/14/1992,350,0.224972318
USGS,5355200,6/15/1992,350,0.224972318
USGS,5355200,6/16/1992,397,0.255182887
USGS,5355200,6/17/1992,835,0.536719673
USGS,5355200,6/18/1992,1780,1.144144932
USGS,5355200,6/19/1992,1730,1.11200603
USGS,5355200,6/20/1992,1210,0.777761443
USGS,5355200,6/21/1992,1100,0.707055857
USGS,5355200,6/22/1992,989,0.635707493
USGS,5355200,6/23/1992,1000,0.642778052
USGS,5355200,6/24/1992,1070,0.687772516
USGS,5355200,6/25/1992,976,0.627351379
USGS,5355200,6/26/1992,824,0.529649115
USGS,5355200,6/27/1992,778,0.500081324
USGS,5355200,6/28/1992,762,0.489796876
USGS,5355200,6/29/1992,754,0.484654651
USGS,5355200,6/30/1992,615,0.395308502
USGS,5355200,7/1/1992,522,0.335530143
USGS,5355200,7/2/1992,838,0.538648008
USGS,5355200,7/3/1992,1140,0.732766979
USGS,5355200,7/4/1992,1380,0.887033712
USGS,5355200,7/5/1992,1360,0.874178151
USGS,5355200,7/6/1992,1240,0.797044784
USGS,5355200,7/7/1992,1090,0.700628077
USGS,5355200,7/8/1992,1080,0.694200296
USGS,5355200,7/9/1992,976,0.627351379
USGS,5355200,7/10/1992,875,0.562430795
USGS,5355200,7/11/1992,955,0.61385304
USGS,5355200,7/12/1992,1050,0.674916955
USGS,5355200,7/13/1992,1080,0.694200296
USGS,5355200,7/14/1992,1030,0.662061394
USGS,5355200,7/15/1992,950,0.610639149
USGS,5355200,7/16/1992,879,0.565001908
USGS,5355200,7/17/1992,862,0.554074681
USGS,5355200,7/18/1992,838,0.538648008
USGS,5355200,7/19/1992,846,0.543790232
USGS,5355200,7/20/1992,821,0.527720781
USGS,5355200,7/21/1992,802,0.515507998
USGS,5355200,7/22/1992,754,0.484654651
USGS,5355200,7/23/1992,611,0.39273739
USGS,5355200,7/24/1992,616,0.39595128
USGS,5355200,7/25/1992,651,0.418448512
USGS,5355200,7/26/1992,690,0.443516856
USGS,5355200,7/27/1992,680,0.437089075
USGS,5355200,7/28/1992,661,0.424876292
USGS,5355200,7/29/1992,569,0.365740712
USGS,5355200,7/30/1992,515,0.331030697
USGS,5355200,7/31/1992,507,0.325888472
USGS,5355200,8/1/1992,445,0.286036233
USGS,5355200,8/2/1992,511,0.328459585
USGS,5355200,8/3/1992,451,0.289892901
USGS,5355200,8/4/1992,446,0.286679011
USGS,5355200,8/5/1992,437,0.280894009
USGS,5355200,8/6/1992,417,0.268038448
USGS,5355200,8/7/1992,493,0.31688958
USGS,5355200,8/8/1992,604,0.388237943
USGS,5355200,8/9/1992,672,0.431946851
USGS,5355200,8/10/1992,708,0.455086861
USGS,5355200,8/11/1992,687,0.441588522
USGS,5355200,8/12/1992,645,0.414591844
USGS,5355200,8/13/1992,543,0.349028482
USGS,5355200,8/14/1992,536,0.344529036
USGS,5355200,8/15/1992,565,0.363169599
USGS,5355200,8/16/1992,566,0.363812377
USGS,5355200,8/17/1992,419,0.269324004
USGS,5355200,8/18/1992,442,0.284107899
USGS,5355200,8/19/1992,486,0.312390133
USGS,5355200,8/20/1992,486,0.312390133
USGS,5355200,8/21/1992,524,0.336815699
USGS,5355200,8/22/1992,457,0.29374957
USGS,5355200,8/23/1992,384,0.246826772
USGS,5355200,8/24/1992,376,0.241684548
USGS,5355200,8/25/1992,463,0.297606238
USGS,5355200,8/26/1992,494,0.317532358
USGS,5355200,8/27/1992,504,0.323960138
USGS,5355200,8/28/1992,402,0.258396777
USGS,5355200,8/29/1992,408,0.262253445
USGS,5355200,8/30/1992,394,0.253254552
USGS,5355200,8/31/1992,347,0.223043984
USGS,5355200,9/1/1992,294,0.188976747
USGS,5355200,9/2/1992,305,0.196047306
USGS,5355200,9/3/1992,276,0.177406742
USGS,5355200,9/4/1992,290,0.186405635
USGS,5355200,9/5/1992,332,0.213402313
USGS,5355200,9/6/1992,716,0.460229085
USGS,5355200,9/7/1992,982,0.631208047
USGS,5355200,9/8/1992,997,0.640849718
USGS,5355200,9/9/1992,886,0.569501354
USGS,5355200,9/10/1992,785,0.504580771
USGS,5355200,9/11/1992,750,0.482083539
USGS,5355200,9/12/1992,652,0.41909129
USGS,5355200,9/13/1992,519,0.333601809
USGS,5355200,9/14/1992,518,0.332959031
USGS,5355200,9/15/1992,587,0.377310716
USGS,5355200,9/16/1992,2960,1.902623034
USGS,5355200,9/17/1992,3100,1.992611961
USGS,5355200,9/18/1992,2350,1.510528422
USGS,5355200,9/19/1992,1740,1.11843381
USGS,5355200,9/20/1992,1460,0.938455956
USGS,5355200,9/21/1992,1260,0.809900345
USGS,5355200,9/22/1992,1160,0.74562254
USGS,5355200,9/23/1992,1030,0.662061394
USGS,5355200,9/24/1992,951,0.611281927
USGS,5355200,9/25/1992,892,0.573358022
USGS,5355200,9/26/1992,844,0.542504676
USGS,5355200,9/27/1992,823,0.529006337
USGS,5355200,9/28/1992,811,0.521293
USGS,5355200,9/29/1992,693,0.44544519
USGS,5355200,9/30/1992,718,0.461514641
USGS,5355200,10/1/1992,794,0.510365773
USGS,5355200,10/2/1992,767,0.493010766
USGS,5355200,10/3/1992,634,0.407521285
USGS,5355200,10/4/1992,674,0.433232407
USGS,5355200,10/5/1992,644,0.413949065
USGS,5355200,10/6/1992,651,0.418448512
USGS,5355200,10/7/1992,892,0.573358022
USGS,5355200,10/8/1992,1010,0.649205832
USGS,5355200,10/9/1992,1790,1.150572713
USGS,5355200,10/10/1992,3010,1.934761936
USGS,5355200,10/11/1992,2910,1.870484131
USGS,5355200,10/12/1992,2480,1.594089569
USGS,5355200,10/13/1992,1950,1.253417201
USGS,5355200,10/14/1992,1730,1.11200603
USGS,5355200,10/15/1992,1490,0.957739297
USGS,5355200,10/16/1992,1440,0.925600395
USGS,5355200,10/17/1992,1220,0.784189223
USGS,5355200,10/18/1992,1240,0.797044784
USGS,5355200,10/19/1992,1140,0.732766979
USGS,5355200,10/20/1992,1240,0.797044784
USGS,5355200,10/21/1992,1090,0.700628077
USGS,5355200,10/22/1992,1130,0.726339199
USGS,5355200,10/23/1992,1040,0.668489174
USGS,5355200,10/24/1992,983,0.631850825
USGS,5355200,10/25/1992,971,0.624137488
USGS,5355200,10/26/1992,968,0.622209154
USGS,5355200,10/27/1992,1020,0.655633613
USGS,5355200,10/28/1992,1170,0.752050321
USGS,5355200,10/29/1992,1080,0.694200296
USGS,5355200,10/30/1992,1040,0.668489174
USGS,5355200,10/31/1992,1010,0.649205832
USGS,5355200,11/1/1992,1010,0.649205832
USGS,5355200,11/2/1992,1240,0.797044784
USGS,5355200,11/3/1992,1310,0.842039248
USGS,5355200,11/4/1992,1500,0.964167078
USGS,5355200,11/5/1992,1680,1.079867127
USGS,5355200,11/6/1992,1740,1.11843381
USGS,5355200,11/7/1992,1700,1.092722688
USGS,5355200,11/8/1992,1600,1.028444883
USGS,5355200,11/9/1992,1520,0.977022639
USGS,5355200,11/10/1992,1520,0.977022639
USGS,5355200,11/11/1992,1610,1.034872664
USGS,5355200,11/12/1992,1670,1.073439347
USGS,5355200,11/13/1992,1540,0.9898782
USGS,5355200,11/14/1992,1390,0.893461492
USGS,5355200,11/15/1992,1270,0.816328126
USGS,5355200,11/16/1992,1240,0.797044784
USGS,5355200,11/17/1992,1270,0.816328126
USGS,5355200,11/18/1992,1310,0.842039248
USGS,5355200,11/19/1992,1250,0.803472565
USGS,5355200,11/20/1992,1240,0.797044784
USGS,5355200,11/21/1992,1430,0.919172614
USGS,5355200,11/22/1992,1610,1.034872664
USGS,5355200,11/23/1992,1660,1.067011566
USGS,5355200,11/24/1992,1530,0.983450419
USGS,5355200,11/25/1992,1370,0.880605931
USGS,5355200,11/26/1992,1300,0.835611468
USGS,5355200,11/27/1992,1220,0.784189223
USGS,5355200,11/28/1992,1210,0.777761443
USGS,5355200,11/29/1992,1180,0.758478101
USGS,5355200,11/30/1992,1140,0.732766979
USGS,5355200,12/1/1992,1140,0.732766979
USGS,5355200,12/2/1992,1150,0.73919476
USGS,5355200,12/3/1992,1120,0.719911418
USGS,5355200,12/4/1992,1060,0.681344735
USGS,5355200,12/5/1992,925,0.594569698
USGS,5355200,12/6/1992,970,0.62349471
USGS,5355200,12/7/1992,903,0.580428581
USGS,5355200,12/8/1992,902,0.579785803
USGS,5355200,12/9/1992,940,0.604211369
USGS,5355200,12/10/1992,1000,0.642778052
USGS,5355200,12/11/1992,1010,0.649205832
USGS,5355200,12/12/1992,999,0.642135274
USGS,5355200,12/13/1992,958,0.615781374
USGS,5355200,12/14/1992,955,0.61385304
USGS,5355200,12/15/1992,959,0.616424152
USGS,5355200,12/16/1992,1010,0.649205832
USGS,5355200,12/17/1992,1050,0.674916955
USGS,5355200,12/18/1992,1020,0.655633613
USGS,5355200,12/19/1992,995,0.639564162
USGS,5355200,12/20/1992,946,0.608068037
USGS,5355200,12/21/1992,839,0.539290786
USGS,5355200,12/22/1992,887,0.570144132
USGS,5355200,12/23/1992,903,0.580428581
USGS,5355200,12/24/1992,636,0.408806841
USGS,5355200,12/25/1992,630,0.404950173
USGS,5355200,12/26/1992,615,0.395308502
USGS,5355200,12/27/1992,600,0.385666831
USGS,5355200,12/28/1992,590,0.379239051
USGS,5355200,12/29/1992,570,0.36638349
USGS,5355200,12/30/1992,565,0.363169599
USGS,5355200,12/31/1992,560,0.359955709
USGS,5355200,1/1/1993,550,0.353527929
USGS,5355200,1/2/1993,540,0.347100148
USGS,5355200,1/3/1993,530,0.340672368
USGS,5355200,1/4/1993,520,0.334244587
USGS,5355200,1/5/1993,515,0.331030697
USGS,5355200,1/6/1993,510,0.327816806
USGS,5355200,1/7/1993,500,0.321389026
USGS,5355200,1/8/1993,490,0.314961245
USGS,5355200,1/9/1993,480,0.308533465
USGS,5355200,1/10/1993,470,0.302105684
USGS,5355200,1/11/1993,465,0.298891794
USGS,5355200,1/12/1993,460,0.295677904
USGS,5355200,1/13/1993,455,0.292464014
USGS,5355200,1/14/1993,450,0.289250123
USGS,5355200,1/15/1993,440,0.282822343
USGS,5355200,1/16/1993,435,0.279608453
USGS,5355200,1/17/1993,430,0.276394562
USGS,5355200,1/18/1993,425,0.273180672
USGS,5355200,1/19/1993,422,0.271252338
USGS,5355200,1/20/1993,420,0.269966782
USGS,5355200,1/21/1993,415,0.266752892
USGS,5355200,1/22/1993,413,0.265467335
USGS,5355200,1/23/1993,411,0.264181779
USGS,5355200,1/24/1993,410,0.263539001
USGS,5355200,1/25/1993,408,0.262253445
USGS,5355200,1/26/1993,405,0.260325111
USGS,5355200,1/27/1993,402,0.258396777
USGS,5355200,1/28/1993,400,0.257111221
USGS,5355200,1/29/1993,396,0.254540109
USGS,5355200,1/30/1993,395,0.253897331
USGS,5355200,1/31/1993,392,0.251968996
USGS,5355200,2/1/1993,390,0.25068344
USGS,5355200,2/2/1993,388,0.249397884
USGS,5355200,2/3/1993,385,0.24746955
USGS,5355200,2/4/1993,382,0.245541216
USGS,5355200,2/5/1993,380,0.24425566
USGS,5355200,2/6/1993,380,0.24425566
USGS,5355200,2/7/1993,380,0.24425566
USGS,5355200,2/8/1993,380,0.24425566
USGS,5355200,2/9/1993,380,0.24425566
USGS,5355200,2/10/1993,375,0.241041769
USGS,5355200,2/11/1993,372,0.239113435
USGS,5355200,2/12/1993,370,0.237827879
USGS,5355200,2/13/1993,365,0.234613989
USGS,5355200,2/14/1993,362,0.232685655
USGS,5355200,2/15/1993,365,0.234613989
USGS,5355200,2/16/1993,370,0.237827879
USGS,5355200,2/17/1993,370,0.237827879
USGS,5355200,2/18/1993,372,0.239113435
USGS,5355200,2/19/1993,372,0.239113435
USGS,5355200,2/20/1993,372,0.239113435
USGS,5355200,2/21/1993,372,0.239113435
USGS,5355200,2/22/1993,372,0.239113435
USGS,5355200,2/23/1993,372,0.239113435
USGS,5355200,2/24/1993,372,0.239113435
USGS,5355200,2/25/1993,372,0.239113435
USGS,5355200,2/26/1993,375,0.241041769
USGS,5355200,2/27/1993,375,0.241041769
USGS,5355200,2/28/1993,375,0.241041769
USGS,5355200,3/1/1993,376,0.241684548
USGS,5355200,3/2/1993,376,0.241684548
USGS,5355200,3/3/1993,380,0.24425566
USGS,5355200,3/4/1993,380,0.24425566
USGS,5355200,3/5/1993,380,0.24425566
USGS,5355200,3/6/1993,380,0.24425566
USGS,5355200,3/7/1993,380,0.24425566
USGS,5355200,3/8/1993,385,0.24746955
USGS,5355200,3/9/1993,385,0.24746955
USGS,5355200,3/10/1993,385,0.24746955
USGS,5355200,3/11/1993,385,0.24746955
USGS,5355200,3/12/1993,385,0.24746955
USGS,5355200,3/13/1993,385,0.24746955
USGS,5355200,3/14/1993,385,0.24746955
USGS,5355200,3/15/1993,385,0.24746955
USGS,5355200,3/16/1993,380,0.24425566
USGS,5355200,3/17/1993,380,0.24425566
USGS,5355200,3/18/1993,390,0.25068344
USGS,5355200,3/19/1993,400,0.257111221
USGS,5355200,3/20/1993,405,0.260325111
USGS,5355200,3/21/1993,418,0.268681226
USGS,5355200,3/22/1993,425,0.273180672
USGS,5355200,3/23/1993,433,0.278322896
USGS,5355200,3/24/1993,480,0.308533465
USGS,5355200,3/25/1993,597,0.383738497
USGS,5355200,3/26/1993,1170,0.752050321
USGS,5355200,3/27/1993,2790,1.793350765
USGS,5355200,3/28/1993,3590,2.307573207
USGS,5355200,3/29/1993,4700,3.021056844
USGS,5355200,3/30/1993,5490,3.528851505
USGS,5355200,3/31/1993,6430,4.133062874
USGS,5355200,4/1/1993,9300,5.977835883
USGS,5355200,4/2/1993,10500,6.749169545
USGS,5355200,4/3/1993,9600,6.170669299
USGS,5355200,4/4/1993,7710,4.955818781
USGS,5355200,4/5/1993,6800,4.370890753
USGS,5355200,4/6/1993,5580,3.58670153
USGS,5355200,4/7/1993,4800,3.085334649
USGS,5355200,4/8/1993,4600,2.956779039
USGS,5355200,4/9/1993,4850,3.117473552
USGS,5355200,4/10/1993,4760,3.059623527
USGS,5355200,4/11/1993,4720,3.033912405
USGS,5355200,4/12/1993,5040,3.239601382
USGS,5355200,4/13/1993,5190,3.33601809
USGS,5355200,4/14/1993,4870,3.130329113
USGS,5355200,4/15/1993,4310,2.770373404
USGS,5355200,4/16/1993,4420,2.84107899
USGS,5355200,4/17/1993,4290,2.757517843
USGS,5355200,4/18/1993,3730,2.397562134
USGS,5355200,4/19/1993,3380,2.172589816
USGS,5355200,4/20/1993,3830,2.461839939
USGS,5355200,4/21/1993,5810,3.734540482
USGS,5355200,4/22/1993,6590,4.235907362
USGS,5355200,4/23/1993,5830,3.747396043
USGS,5355200,4/24/1993,4490,2.886073453
USGS,5355200,4/25/1993,3590,2.307573207
USGS,5355200,4/26/1993,3100,1.992611961
USGS,5355200,4/27/1993,2740,1.761211862
USGS,5355200,4/28/1993,3000,1.928334156
USGS,5355200,4/29/1993,2940,1.889767473
USGS,5355200,4/30/1993,2730,1.754784082
USGS,5355200,5/1/1993,2510,1.61337291
USGS,5355200,5/2/1993,2790,1.793350765
USGS,5355200,5/3/1993,3020,1.941189717
USGS,5355200,5/4/1993,2960,1.902623034
USGS,5355200,5/5/1993,2910,1.870484131
USGS,5355200,5/6/1993,2700,1.73550074
USGS,5355200,5/7/1993,2830,1.819061887
USGS,5355200,5/8/1993,3020,1.941189717
USGS,5355200,5/9/1993,3330,2.140450913
USGS,5355200,5/10/1993,3980,2.558256647
USGS,5355200,5/11/1993,4860,3.123901332
USGS,5355200,5/12/1993,5110,3.284595845
USGS,5355200,5/13/1993,4570,2.937495697
USGS,5355200,5/14/1993,3890,2.500406622
USGS,5355200,5/15/1993,3160,2.031178644
USGS,5355200,5/16/1993,2770,1.780495204
