,Site,Timestamp,Precipitation (in.),Precipitation (in.) Quality,Level (ft),Level (ft) Quality,Discharge (cfs),Discharge (cfs) Quality,Discharge [m^3/s]
31646,33145001,1934-10-01,,,,,152.0,Approved Ext Data,4.3041606832
31645,33145001,1934-10-02,,,,,149.0,Approved Ext Data,4.2192101434
31644,33145001,1934-10-03,,,,,149.0,Approved Ext Data,4.2192101434
31643,33145001,1934-10-04,,,,,149.0,Approved Ext Data,4.2192101434
31642,33145001,1934-10-05,,,,,149.0,Approved Ext Data,4.2192101434
31641,33145001,1934-10-06,,,,,142.0,Approved Ext Data,4.0209922172
31640,33145001,1934-10-07,,,,,138.0,Approved Ext Data,3.9077248308000003
31639,33145001,1934-10-08,,,,,134.0,Approved Ext Data,3.7944574444
31638,33145001,1934-10-09,,,,,131.0,Approved Ext Data,3.7095069046
31637,33145001,1934-10-10,,,,,131.0,Approved Ext Data,3.7095069046
31636,33145001,1934-10-11,,,,,131.0,Approved Ext Data,3.7095069046
31635,33145001,1934-10-12,,,,,131.0,Approved Ext Data,3.7095069046
31634,33145001,1934-10-13,,,,,131.0,Approved Ext Data,3.7095069046
31633,33145001,1934-10-14,,,,,131.0,Approved Ext Data,3.7095069046
31632,33145001,1934-10-15,,,,,127.0,Approved Ext Data,3.5962395182
31631,33145001,1934-10-16,,,,,124.0,Approved Ext Data,3.5112889784
31630,33145001,1934-10-17,,,,,124.0,Approved Ext Data,3.5112889784
31629,33145001,1934-10-18,,,,,124.0,Approved Ext Data,3.5112889784
31628,33145001,1934-10-19,,,,,124.0,Approved Ext Data,3.5112889784
31627,33145001,1934-10-20,,,,,335.0,Approved Ext Data,9.486143611000001
31626,33145001,1934-10-21,,,,,258.0,Approved Ext Data,7.3057464228
31625,33145001,1934-10-22,,,,,200.0,Approved Ext Data,5.66336932
31624,33145001,1934-10-23,,,,,179.0,Approved Ext Data,5.0687155414000005
31623,33145001,1934-10-24,,,,,183.0,Approved Ext Data,5.1819829278
31622,33145001,1934-10-25,,,,,218.0,Approved Ext Data,6.1730725588
31621,33145001,1934-10-26,,,,,222.0,Approved Ext Data,6.2863399452
31620,33145001,1934-10-27,,,,,226.0,Approved Ext Data,6.3996073316
31619,33145001,1934-10-28,,,,,204.0,Approved Ext Data,5.7766367064
31618,33145001,1934-10-29,,,,,204.0,Approved Ext Data,5.7766367064
31617,33145001,1934-10-30,,,,,191.0,Approved Ext Data,5.4085177006
31616,33145001,1934-10-31,,,,,187.0,Approved Ext Data,5.2952503142000005
31615,33145001,1934-11-01,,,,,183.0,Approved Ext Data,5.1819829278
31614,33145001,1934-11-02,,,,,179.0,Approved Ext Data,5.0687155414000005
31613,33145001,1934-11-03,,,,,183.0,Approved Ext Data,5.1819829278
31612,33145001,1934-11-04,,,,,183.0,Approved Ext Data,5.1819829278
31611,33145001,1934-11-05,,,,,176.0,Approved Ext Data,4.9837650016
31610,33145001,1934-11-06,,,,,168.0,Approved Ext Data,4.7572302288
31609,33145001,1934-11-07,,,,,168.0,Approved Ext Data,4.7572302288
31608,33145001,1934-11-08,,,,,164.0,Approved Ext Data,4.643962842400001
31607,33145001,1934-11-09,,,,,164.0,Approved Ext Data,4.643962842400001
31606,33145001,1934-11-10,,,,,160.0,Approved Ext Data,4.530695456
31605,33145001,1934-11-11,,,,,156.0,Approved Ext Data,4.4174280696
31604,33145001,1934-11-12,,,,,156.0,Approved Ext Data,4.4174280696
31603,33145001,1934-11-13,,,,,152.0,Approved Ext Data,4.3041606832
31602,33145001,1934-11-14,,,,,149.0,Approved Ext Data,4.2192101434
31601,33145001,1934-11-15,,,,,149.0,Approved Ext Data,4.2192101434
31600,33145001,1934-11-16,,,,,149.0,Approved Ext Data,4.2192101434
31599,33145001,1934-11-17,,,,,145.0,Approved Ext Data,4.105942757
31598,33145001,1934-11-18,,,,,145.0,Approved Ext Data,4.105942757
31597,33145001,1934-11-19,,,,,145.0,Approved Ext Data,4.105942757
31596,33145001,1934-11-20,,,,,142.0,Approved Ext Data,4.0209922172
31595,33145001,1934-11-21,,,,,218.0,Approved Ext Data,6.1730725588
31594,33145001,1934-11-22,,,,,218.0,Approved Ext Data,6.1730725588
31593,33145001,1934-11-23,,,,,218.0,Approved Ext Data,6.1730725588
31592,33145001,1934-11-24,,,,,218.0,Approved Ext Data,6.1730725588
31591,33145001,1934-11-25,,,,,218.0,Approved Ext Data,6.1730725588
31590,33145001,1934-11-26,,,,,213.0,Approved Ext Data,6.0314883258
31589,33145001,1934-11-27,,,,,213.0,Approved Ext Data,6.0314883258
31588,33145001,1934-11-28,,,,,208.0,Approved Ext Data,5.8899040928
31587,33145001,1934-11-29,,,,,204.0,Approved Ext Data,5.7766367064
31586,33145001,1934-11-30,,,,,195.0,Approved Ext Data,5.5217850870000005
31585,33145001,1934-12-01,,,,,187.0,Approved Ext Data,5.2952503142000005
31584,33145001,1934-12-02,,,,,183.0,Approved Ext Data,5.1819829278
31583,33145001,1934-12-03,,,,,179.0,Approved Ext Data,5.0687155414000005
31582,33145001,1934-12-04,,,,,168.0,Approved Ext Data,4.7572302288
31581,33145001,1934-12-05,,,,,156.0,Approved Ext Data,4.4174280696
31580,33145001,1934-12-06,,,,,172.0,Approved Ext Data,4.8704976152
31579,33145001,1934-12-07,,,,,179.0,Approved Ext Data,5.0687155414000005
31578,33145001,1934-12-08,,,,,195.0,Approved Ext Data,5.5217850870000005
31577,33145001,1934-12-09,,,,,191.0,Approved Ext Data,5.4085177006
31576,33145001,1934-12-10,,,,,179.0,Approved Ext Data,5.0687155414000005
31575,33145001,1934-12-11,,,,,172.0,Approved Ext Data,4.8704976152
31574,33145001,1934-12-12,,,,,168.0,Approved Ext Data,4.7572302288
31573,33145001,1934-12-13,,,,,164.0,Approved Ext Data,4.643962842400001
31572,33145001,1934-12-14,,,,,164.0,Approved Ext Data,4.643962842400001
31571,33145001,1934-12-15,,,,,164.0,Approved Ext Data,4.643962842400001
31570,33145001,1934-12-16,,,,,179.0,Approved Ext Data,5.0687155414000005
31569,33145001,1934-12-17,,,,,187.0,Approved Ext Data,5.2952503142000005
31568,33145001,1934-12-18,,,,,187.0,Approved Ext Data,5.2952503142000005
31567,33145001,1934-12-19,,,,,183.0,Approved Ext Data,5.1819829278
31566,33145001,1934-12-20,,,,,183.0,Approved Ext Data,5.1819829278
31565,33145001,1934-12-21,,,,,187.0,Approved Ext Data,5.2952503142000005
31564,33145001,1934-12-22,,,,,195.0,Approved Ext Data,5.5217850870000005
31563,33145001,1934-12-23,,,,,187.0,Approved Ext Data,5.2952503142000005
31562,33145001,1934-12-24,,,,,191.0,Approved Ext Data,5.4085177006
31561,33145001,1934-12-25,,,,,183.0,Approved Ext Data,5.1819829278
31560,33145001,1934-12-26,,,,,164.0,Approved Ext Data,4.643962842400001
31559,33145001,1934-12-27,,,,,152.0,Approved Ext Data,4.3041606832
31558,33145001,1934-12-28,,,,,156.0,Approved Ext Data,4.4174280696
31557,33145001,1934-12-29,,,,,156.0,Approved Ext Data,4.4174280696
31556,33145001,1934-12-30,,,,,156.0,Approved Ext Data,4.4174280696
31555,33145001,1934-12-31,,,,,160.0,Approved Ext Data,4.530695456
31554,33145001,1935-01-01,,,,,156.0,Approved Ext Data,4.4174280696
31553,33145001,1935-01-02,,,,,152.0,Approved Ext Data,4.3041606832
31552,33145001,1935-01-03,,,,,145.0,Approved Ext Data,4.105942757
31551,33145001,1935-01-04,,,,,138.0,Approved Ext Data,3.9077248308000003
31550,33145001,1935-01-05,,,,,156.0,Approved Ext Data,4.4174280696
31549,33145001,1935-01-06,,,,,152.0,Approved Ext Data,4.3041606832
31548,33145001,1935-01-07,,,,,156.0,Approved Ext Data,4.4174280696
31547,33145001,1935-01-08,,,,,156.0,Approved Ext Data,4.4174280696
31546,33145001,1935-01-09,,,,,156.0,Approved Ext Data,4.4174280696
31545,33145001,1935-01-10,,,,,156.0,Approved Ext Data,4.4174280696
31544,33145001,1935-01-11,,,,,156.0,Approved Ext Data,4.4174280696
31543,33145001,1935-01-12,,,,,156.0,Approved Ext Data,4.4174280696
31542,33145001,1935-01-13,,,,,156.0,Approved Ext Data,4.4174280696
31541,33145001,1935-01-14,,,,,152.0,Approved Ext Data,4.3041606832
31540,33145001,1935-01-15,,,,,149.0,Approved Ext Data,4.2192101434
31539,33145001,1935-01-16,,,,,145.0,Approved Ext Data,4.105942757
31538,33145001,1935-01-17,,,,,138.0,Approved Ext Data,3.9077248308000003
31537,33145001,1935-01-18,,,,,131.0,Approved Ext Data,3.7095069046
31536,33145001,1935-01-19,,,,,127.0,Approved Ext Data,3.5962395182
31535,33145001,1935-01-20,,,,,120.0,Approved Ext Data,3.398021592
31534,33145001,1935-01-21,,,,,113.0,Approved Ext Data,3.1998036658
31533,33145001,1935-01-22,,,,,107.0,Approved Ext Data,3.0299025862
31532,33145001,1935-01-23,,,,,104.0,Approved Ext Data,2.9449520464
31531,33145001,1935-01-24,,,,,110.0,Approved Ext Data,3.114853126
31530,33145001,1935-01-25,,,,,120.0,Approved Ext Data,3.398021592
31529,33145001,1935-01-26,,,,,127.0,Approved Ext Data,3.5962395182
31528,33145001,1935-01-27,,,,,138.0,Approved Ext Data,3.9077248308000003
31527,33145001,1935-01-28,,,,,152.0,Approved Ext Data,4.3041606832
31526,33145001,1935-01-29,,,,,156.0,Approved Ext Data,4.4174280696
31525,33145001,1935-01-30,,,,,160.0,Approved Ext Data,4.530695456
31524,33145001,1935-01-31,,,,,160.0,Approved Ext Data,4.530695456
31523,33145001,1935-02-01,,,,,156.0,Approved Ext Data,4.4174280696
31522,33145001,1935-02-02,,,,,156.0,Approved Ext Data,4.4174280696
31521,33145001,1935-02-03,,,,,156.0,Approved Ext Data,4.4174280696
31520,33145001,1935-02-04,,,,,156.0,Approved Ext Data,4.4174280696
31519,33145001,1935-02-05,,,,,160.0,Approved Ext Data,4.530695456
31518,33145001,1935-02-06,,,,,160.0,Approved Ext Data,4.530695456
31517,33145001,1935-02-07,,,,,172.0,Approved Ext Data,4.8704976152
31516,33145001,1935-02-08,,,,,187.0,Approved Ext Data,5.2952503142000005
31515,33145001,1935-02-09,,,,,191.0,Approved Ext Data,5.4085177006
31514,33145001,1935-02-10,,,,,187.0,Approved Ext Data,5.2952503142000005
31513,33145001,1935-02-11,,,,,176.0,Approved Ext Data,4.9837650016
31512,33145001,1935-02-12,,,,,172.0,Approved Ext Data,4.8704976152
31511,33145001,1935-02-13,,,,,176.0,Approved Ext Data,4.9837650016
31510,33145001,1935-02-14,,,,,191.0,Approved Ext Data,5.4085177006
31509,33145001,1935-02-15,,,,,191.0,Approved Ext Data,5.4085177006
31508,33145001,1935-02-16,,,,,200.0,Approved Ext Data,5.66336932
31507,33145001,1935-02-17,,,,,218.0,Approved Ext Data,6.1730725588
31506,33145001,1935-02-18,,,,,236.0,Approved Ext Data,6.6827757976
31505,33145001,1935-02-19,,,,,252.0,Approved Ext Data,7.1358453432
31504,33145001,1935-02-20,,,,,288.0,Approved Ext Data,8.1552518208
31503,33145001,1935-02-21,,,,,300.0,Approved Ext Data,8.49505398
31502,33145001,1935-02-22,,,,,342.0,Approved Ext Data,9.684361537200001
31501,33145001,1935-02-23,,,,,504.0,Approved Ext Data,14.2716906864
31500,33145001,1935-02-24,,,,,760.0,Approved Ext Data,21.520803416
31499,33145001,1935-02-25,,,,,808.0,Approved Ext Data,22.8800120528
31498,33145001,1935-02-26,,,,,790.0,Approved Ext Data,22.370308814
31497,33145001,1935-02-27,,,,,870.0,Approved Ext Data,24.635656542
31496,33145001,1935-02-28,,,,,1020.0,Approved Ext Data,28.883183532
31495,33145001,1935-03-01,,,,,1080.0,Approved Ext Data,30.582194328
31494,33145001,1935-03-02,,,,,1110.0,Approved Ext Data,31.431699726
31493,33145001,1935-03-03,,,,,1140.0,Approved Ext Data,32.281205124
31492,33145001,1935-03-04,,,,,1310.0,Approved Ext Data,37.095069046
31491,33145001,1935-03-05,,,,,1720.0,Approved Ext Data,48.704976152
31490,33145001,1935-03-06,,,,,1900.0,Approved Ext Data,53.80200854
31489,33145001,1935-03-07,,,,,2250.0,Approved Ext Data,63.71290485
31488,33145001,1935-03-08,,,,,2740.0,Approved Ext Data,77.588159684
31487,33145001,1935-03-09,,,,,3020.0,Approved Ext Data,85.516876732
31486,33145001,1935-03-10,,,,,3200.0,Approved Ext Data,90.61390912
31485,33145001,1935-03-11,,,,,3320.0,Approved Ext Data,94.01193071200001
31484,33145001,1935-03-12,,,,,3320.0,Approved Ext Data,94.01193071200001
31483,33145001,1935-03-13,,,,,3200.0,Approved Ext Data,90.61390912
31482,33145001,1935-03-14,,,,,3020.0,Approved Ext Data,85.516876732
31481,33145001,1935-03-15,,,,,3320.0,Approved Ext Data,94.01193071200001
31480,33145001,1935-03-16,,,,,3320.0,Approved Ext Data,94.01193071200001
31479,33145001,1935-03-17,,,,,3380.0,Approved Ext Data,95.710941508
31478,33145001,1935-03-18,,,,,3800.0,Approved Ext Data,107.60401708
31477,33145001,1935-03-19,,,,,3940.0,Approved Ext Data,111.568375604
31476,33145001,1935-03-20,,,,,3870.0,Approved Ext Data,109.58619634200001
31475,33145001,1935-03-21,,,,,3800.0,Approved Ext Data,107.60401708
31474,33145001,1935-03-22,,,,,3520.0,Approved Ext Data,99.675300032
31473,33145001,1935-03-23,,,,,3260.0,Approved Ext Data,92.312919916
31472,33145001,1935-03-24,,,,,3020.0,Approved Ext Data,85.516876732
31471,33145001,1935-03-25,,,,,2840.0,Approved Ext Data,80.419844344
31470,33145001,1935-03-26,,,,,2740.0,Approved Ext Data,77.588159684
31469,33145001,1935-03-27,,,,,2390.0,Approved Ext Data,67.677263374
31468,33145001,1935-03-28,,,,,2120.0,Approved Ext Data,60.031714792
31467,33145001,1935-03-29,,,,,1940.0,Approved Ext Data,54.934682404
31466,33145001,1935-03-30,,,,,1810.0,Approved Ext Data,51.253492346
31465,33145001,1935-03-31,,,,,1660.0,Approved Ext Data,47.005965356000004
31464,33145001,1935-04-01,,,,,1610.0,Approved Ext Data,45.590123026
31463,33145001,1935-04-02,,,,,1550.0,Approved Ext Data,43.891112230000005
31462,33145001,1935-04-03,,,,,1410.0,Approved Ext Data,39.926753706
31461,33145001,1935-04-04,,,,,1320.0,Approved Ext Data,37.378237512
31460,33145001,1935-04-05,,,,,1310.0,Approved Ext Data,37.095069046
31459,33145001,1935-04-06,,,,,1250.0,Approved Ext Data,35.39605825
31458,33145001,1935-04-07,,,,,1200.0,Approved Ext Data,33.98021592
31457,33145001,1935-04-08,,,,,1120.0,Approved Ext Data,31.714868192
31456,33145001,1935-04-09,,,,,1040.0,Approved Ext Data,29.449520464000003
31455,33145001,1935-04-10,,,,,972.0,Approved Ext Data,27.523974895200002
31454,33145001,1935-04-11,,,,,972.0,Approved Ext Data,27.523974895200002
31453,33145001,1935-04-12,,,,,972.0,Approved Ext Data,27.523974895200002
31452,33145001,1935-04-13,,,,,983.0,Approved Ext Data,27.8354602078
31451,33145001,1935-04-14,,,,,983.0,Approved Ext Data,27.8354602078
31450,33145001,1935-04-15,,,,,920.0,Approved Ext Data,26.051498872
31449,33145001,1935-04-16,,,,,920.0,Approved Ext Data,26.051498872
31448,33145001,1935-04-17,,,,,962.0,Approved Ext Data,27.2408064292
31447,33145001,1935-04-18,,,,,1060.0,Approved Ext Data,30.015857396
31446,33145001,1935-04-19,,,,,972.0,Approved Ext Data,27.523974895200002
31445,33145001,1935-04-20,,,,,930.0,Approved Ext Data,26.334667338
31444,33145001,1935-04-21,,,,,920.0,Approved Ext Data,26.051498872
31443,33145001,1935-04-22,,,,,890.0,Approved Ext Data,25.201993474000002
31442,33145001,1935-04-23,,,,,830.0,Approved Ext Data,23.502982678000002
31441,33145001,1935-04-24,,,,,870.0,Approved Ext Data,24.635656542
31440,33145001,1935-04-25,,,,,900.0,Approved Ext Data,25.48516194
31439,33145001,1935-04-26,,,,,890.0,Approved Ext Data,25.201993474000002
31438,33145001,1935-04-27,,,,,860.0,Approved Ext Data,24.352488076
31437,33145001,1935-04-28,,,,,840.0,Approved Ext Data,23.786151144
31436,33145001,1935-04-29,,,,,820.0,Approved Ext Data,23.219814212
31435,33145001,1935-04-30,,,,,770.0,Approved Ext Data,21.803971882
31434,33145001,1935-05-01,,,,,750.0,Approved Ext Data,21.23763495
31433,33145001,1935-05-02,,,,,890.0,Approved Ext Data,25.201993474000002
31432,33145001,1935-05-03,,,,,930.0,Approved Ext Data,26.334667338
31431,33145001,1935-05-04,,,,,972.0,Approved Ext Data,27.523974895200002
31430,33145001,1935-05-05,,,,,983.0,Approved Ext Data,27.8354602078
31429,33145001,1935-05-06,,,,,962.0,Approved Ext Data,27.2408064292
31428,33145001,1935-05-07,,,,,1000.0,Approved Ext Data,28.3168466
31427,33145001,1935-05-08,,,,,1100.0,Approved Ext Data,31.148531260000002
31426,33145001,1935-05-09,,,,,1120.0,Approved Ext Data,31.714868192
31425,33145001,1935-05-10,,,,,1120.0,Approved Ext Data,31.714868192
31424,33145001,1935-05-11,,,,,1140.0,Approved Ext Data,32.281205124
31423,33145001,1935-05-12,,,,,2160.0,Approved Ext Data,61.164388656
31422,33145001,1935-05-13,,,,,1980.0,Approved Ext Data,56.067356268000005
31421,33145001,1935-05-14,,,,,1720.0,Approved Ext Data,48.704976152
31420,33145001,1935-05-15,,,,,1470.0,Approved Ext Data,41.625764502
31419,33145001,1935-05-16,,,,,1340.0,Approved Ext Data,37.944574444000004
31418,33145001,1935-05-17,,,,,1400.0,Approved Ext Data,39.64358524
31417,33145001,1935-05-18,,,,,1550.0,Approved Ext Data,43.891112230000005
31416,33145001,1935-05-19,,,,,1610.0,Approved Ext Data,45.590123026
31415,33145001,1935-05-20,,,,,1610.0,Approved Ext Data,45.590123026
31414,33145001,1935-05-21,,,,,1420.0,Approved Ext Data,40.209922172
31413,33145001,1935-05-22,,,,,1290.0,Approved Ext Data,36.528732114
31412,33145001,1935-05-23,,,,,1230.0,Approved Ext Data,34.829721318000004
31411,33145001,1935-05-24,,,,,1120.0,Approved Ext Data,31.714868192
31410,33145001,1935-05-25,,,,,1050.0,Approved Ext Data,29.732688930000002
31409,33145001,1935-05-26,,,,,1010.0,Approved Ext Data,28.600015066
31408,33145001,1935-05-27,,,,,994.0,Approved Ext Data,28.1469455204
31407,33145001,1935-05-28,,,,,962.0,Approved Ext Data,27.2408064292
31406,33145001,1935-05-29,,,,,900.0,Approved Ext Data,25.48516194
31405,33145001,1935-05-30,,,,,920.0,Approved Ext Data,26.051498872
31404,33145001,1935-05-31,,,,,890.0,Approved Ext Data,25.201993474000002
31403,33145001,1935-06-01,,,,,830.0,Approved Ext Data,23.502982678000002
31402,33145001,1935-06-02,,,,,790.0,Approved Ext Data,22.370308814
31401,33145001,1935-06-03,,,,,790.0,Approved Ext Data,22.370308814
31400,33145001,1935-06-04,,,,,750.0,Approved Ext Data,21.23763495
31399,33145001,1935-06-05,,,,,660.0,Approved Ext Data,18.689118756
31398,33145001,1935-06-06,,,,,690.0,Approved Ext Data,19.538624154
31397,33145001,1935-06-07,,,,,670.0,Approved Ext Data,18.972287222000002
31396,33145001,1935-06-08,,,,,630.0,Approved Ext Data,17.839613358
31395,33145001,1935-06-09,,,,,620.0,Approved Ext Data,17.556444892000002
31394,33145001,1935-06-10,,,,,670.0,Approved Ext Data,18.972287222000002
31393,33145001,1935-06-11,,,,,680.0,Approved Ext Data,19.255455688
31392,33145001,1935-06-12,,,,,770.0,Approved Ext Data,21.803971882
31391,33145001,1935-06-13,,,,,780.0,Approved Ext Data,22.087140348000002
31390,33145001,1935-06-14,,,,,650.0,Approved Ext Data,18.40595029
31389,33145001,1935-06-15,,,,,557.0,Approved Ext Data,15.772483556200001
31388,33145001,1935-06-16,,,,,700.0,Approved Ext Data,19.82179262
31387,33145001,1935-06-17,,,,,1260.0,Approved Ext Data,35.679226716
31386,33145001,1935-06-18,,,,,1270.0,Approved Ext Data,35.962395182
31385,33145001,1935-06-19,,,,,1550.0,Approved Ext Data,43.891112230000005
31384,33145001,1935-06-20,,,,,1940.0,Approved Ext Data,54.934682404
31383,33145001,1935-06-21,,,,,2070.0,Approved Ext Data,58.615872462
31382,33145001,1935-06-22,,,,,2160.0,Approved Ext Data,61.164388656
31381,33145001,1935-06-23,,,,,2640.0,Approved Ext Data,74.756475024
31380,33145001,1935-06-24,,,,,2940.0,Approved Ext Data,83.251529004
31379,33145001,1935-06-25,,,,,2840.0,Approved Ext Data,80.419844344
31378,33145001,1935-06-26,,,,,2390.0,Approved Ext Data,67.677263374
31377,33145001,1935-06-27,,,,,2250.0,Approved Ext Data,63.71290485
31376,33145001,1935-06-28,,,,,2020.0,Approved Ext Data,57.200030132
31375,33145001,1935-06-29,,,,,2020.0,Approved Ext Data,57.200030132
31374,33145001,1935-06-30,,,,,2070.0,Approved Ext Data,58.615872462
31373,33145001,1935-07-01,,,,,1940.0,Approved Ext Data,54.934682404
31372,33145001,1935-07-02,,,,,1720.0,Approved Ext Data,48.704976152
31371,33145001,1935-07-03,,,,,1500.0,Approved Ext Data,42.4752699
31370,33145001,1935-07-04,,,,,1370.0,Approved Ext Data,38.794079842
31369,33145001,1935-07-05,,,,,1310.0,Approved Ext Data,37.095069046
31368,33145001,1935-07-06,,,,,1230.0,Approved Ext Data,34.829721318000004
31367,33145001,1935-07-07,,,,,1140.0,Approved Ext Data,32.281205124
31366,33145001,1935-07-08,,,,,1100.0,Approved Ext Data,31.148531260000002
31365,33145001,1935-07-09,,,,,1020.0,Approved Ext Data,28.883183532
31364,33145001,1935-07-10,,,,,994.0,Approved Ext Data,28.1469455204
31363,33145001,1935-07-11,,,,,972.0,Approved Ext Data,27.523974895200002
31362,33145001,1935-07-12,,,,,870.0,Approved Ext Data,24.635656542
31361,33145001,1935-07-13,,,,,790.0,Approved Ext Data,22.370308814
31360,33145001,1935-07-14,,,,,740.0,Approved Ext Data,20.954466484
31359,33145001,1935-07-15,,,,,700.0,Approved Ext Data,19.82179262
31358,33145001,1935-07-16,,,,,620.0,Approved Ext Data,17.556444892000002
31357,33145001,1935-07-17,,,,,557.0,Approved Ext Data,15.772483556200001
31356,33145001,1935-07-18,,,,,584.0,Approved Ext Data,16.5370384144
31355,33145001,1935-07-19,,,,,539.0,Approved Ext Data,15.2627803174
31354,33145001,1935-07-20,,,,,504.0,Approved Ext Data,14.2716906864
31353,33145001,1935-07-21,,,,,462.0,Approved Ext Data,13.0823831292
31352,33145001,1935-07-22,,,,,445.0,Approved Ext Data,12.600996737000001
31351,33145001,1935-07-23,,,,,408.0,Approved Ext Data,11.5532734128
31350,33145001,1935-07-24,,,,,370.0,Approved Ext Data,10.477233242
31349,33145001,1935-07-25,,,,,378.0,Approved Ext Data,10.7037680148
31348,33145001,1935-07-26,,,,,370.0,Approved Ext Data,10.477233242
31347,33145001,1935-07-27,,,,,356.0,Approved Ext Data,10.0807973896
31346,33145001,1935-07-28,,,,,335.0,Approved Ext Data,9.486143611000001
31345,33145001,1935-07-29,,,,,314.0,Approved Ext Data,8.8914898324
31344,33145001,1935-07-30,,,,,300.0,Approved Ext Data,8.49505398
31343,33145001,1935-07-31,,,,,288.0,Approved Ext Data,8.1552518208
31342,33145001,1935-08-01,,,,,385.0,Approved Ext Data,10.901985941
31341,33145001,1935-08-02,,,,,820.0,Approved Ext Data,23.219814212
31340,33145001,1935-08-03,,,,,1190.0,Approved Ext Data,33.697047454
31339,33145001,1935-08-04,,,,,740.0,Approved Ext Data,20.954466484
31338,33145001,1935-08-05,,,,,611.0,Approved Ext Data,17.3015932726
31337,33145001,1935-08-06,,,,,780.0,Approved Ext Data,22.087140348000002
31336,33145001,1935-08-07,,,,,680.0,Approved Ext Data,19.255455688
31335,33145001,1935-08-08,,,,,630.0,Approved Ext Data,17.839613358
31334,33145001,1935-08-09,,,,,602.0,Approved Ext Data,17.0467416532
31333,33145001,1935-08-10,,,,,593.0,Approved Ext Data,16.7918900338
31332,33145001,1935-08-11,,,,,584.0,Approved Ext Data,16.5370384144
31331,33145001,1935-08-12,,,,,522.0,Approved Ext Data,14.7813939252
31330,33145001,1935-08-13,,,,,400.0,Approved Ext Data,11.32673864
31329,33145001,1935-08-14,,,,,370.0,Approved Ext Data,10.477233242
31328,33145001,1935-08-15,,,,,356.0,Approved Ext Data,10.0807973896
31327,33145001,1935-08-16,,,,,321.0,Approved Ext Data,9.0897077586
31326,33145001,1935-08-17,,,,,307.0,Approved Ext Data,8.6932719062
31325,33145001,1935-08-18,,,,,294.0,Approved Ext Data,8.325152900400001
31324,33145001,1935-08-19,,,,,300.0,Approved Ext Data,8.49505398
31323,33145001,1935-08-20,,,,,314.0,Approved Ext Data,8.8914898324
31322,33145001,1935-08-21,,,,,300.0,Approved Ext Data,8.49505398
31321,33145001,1935-08-22,,,,,349.0,Approved Ext Data,9.8825794634
31320,33145001,1935-08-23,,,,,370.0,Approved Ext Data,10.477233242
31319,33145001,1935-08-24,,,,,342.0,Approved Ext Data,9.684361537200001
31318,33145001,1935-08-25,,,,,294.0,Approved Ext Data,8.325152900400001
31317,33145001,1935-08-26,,,,,282.0,Approved Ext Data,7.9853507412
31316,33145001,1935-08-27,,,,,264.0,Approved Ext Data,7.4756475024
31315,33145001,1935-08-28,,,,,252.0,Approved Ext Data,7.1358453432
31314,33145001,1935-08-29,,,,,226.0,Approved Ext Data,6.3996073316
31313,33145001,1935-08-30,,,,,226.0,Approved Ext Data,6.3996073316
31312,33145001,1935-08-31,,,,,222.0,Approved Ext Data,6.2863399452
31311,33145001,1935-09-01,,,,,218.0,Approved Ext Data,6.1730725588
31310,33145001,1935-09-02,,,,,213.0,Approved Ext Data,6.0314883258
31309,33145001,1935-09-03,,,,,213.0,Approved Ext Data,6.0314883258
31308,33145001,1935-09-04,,,,,213.0,Approved Ext Data,6.0314883258
31307,33145001,1935-09-05,,,,,208.0,Approved Ext Data,5.8899040928
31306,33145001,1935-09-06,,,,,213.0,Approved Ext Data,6.0314883258
31305,33145001,1935-09-07,,,,,213.0,Approved Ext Data,6.0314883258
31304,33145001,1935-09-08,,,,,204.0,Approved Ext Data,5.7766367064
31303,33145001,1935-09-09,,,,,204.0,Approved Ext Data,5.7766367064
31302,33145001,1935-09-10,,,,,204.0,Approved Ext Data,5.7766367064
31301,33145001,1935-09-11,,,,,208.0,Approved Ext Data,5.8899040928
31300,33145001,1935-09-12,,,,,208.0,Approved Ext Data,5.8899040928
31299,33145001,1935-09-13,,,,,208.0,Approved Ext Data,5.8899040928
31298,33145001,1935-09-14,,,,,204.0,Approved Ext Data,5.7766367064
31297,33145001,1935-09-15,,,,,204.0,Approved Ext Data,5.7766367064
31296,33145001,1935-09-16,,,,,218.0,Approved Ext Data,6.1730725588
31295,33145001,1935-09-17,,,,,213.0,Approved Ext Data,6.0314883258
31294,33145001,1935-09-18,,,,,204.0,Approved Ext Data,5.7766367064
31293,33145001,1935-09-19,,,,,195.0,Approved Ext Data,5.5217850870000005
31292,33145001,1935-09-20,,,,,195.0,Approved Ext Data,5.5217850870000005
31291,33145001,1935-09-21,,,,,195.0,Approved Ext Data,5.5217850870000005
31290,33145001,1935-09-22,,,,,191.0,Approved Ext Data,5.4085177006
31289,33145001,1935-09-23,,,,,187.0,Approved Ext Data,5.2952503142000005
31288,33145001,1935-09-24,,,,,195.0,Approved Ext Data,5.5217850870000005
31287,33145001,1935-09-25,,,,,195.0,Approved Ext Data,5.5217850870000005
31286,33145001,1935-09-26,,,,,191.0,Approved Ext Data,5.4085177006
31285,33145001,1935-09-27,,,,,183.0,Approved Ext Data,5.1819829278
31284,33145001,1935-09-28,,,,,179.0,Approved Ext Data,5.0687155414000005
31283,33145001,1935-09-29,,,,,179.0,Approved Ext Data,5.0687155414000005
